[2018.03.12.02.54.33][Classes.SSHController.Connect.bw_connect] ip = 192.168.1.55, port = 22

[2018.03.12.02.54.36][Classes.SSHController.sendCommand] echo $CO_HOME

[2018.03.12.02.54.36][Classes.SSHController.ReadLinesBlocking] /home/test

[2018.03.12.02.54.36][Classes.SSHController._LoadEnvCoHome] $CO_HOME = /home/test

[2018.03.12.02.54.38][Classes.SSHController._PullListInDirectory] Path = /

[2018.03.12.02.54.38][Classes.SSHController._PullListInDirectory] Path = /

[2018.03.12.02.54.38][Classes.SSHController._PullListInDirectory] Path = /home

[2018.03.12.02.54.38][Classes.SSHController._PullListInDirectory] Path = /home

[2018.03.12.02.54.38][Classes.SSHController._PullListInDirectory] Path = /home/test

[2018.03.12.02.54.38][Classes.SSHController._PullListInDirectory] Path = /home/test

[2018.03.12.02.54.38][UserControls.Cofile.Refresh] [refresh]

[2018.03.12.02.54.42][UserControls.ConfigOptions.ConfigOptionManager.CreateOption] type = file

[2018.03.12.02.54.45][UserControls.ConfigOptions.ConfigOptionManager.CreateOption] type = file

